,label
0,4
1,5
2,2
3,5
4,0
5,2
6,6
7,0
8,1
9,7
10,0
11,5
12,0
14,0
15,2
16,4
17,2
18,4
19,2
20,2
21,3
22,4
23,7
24,2
25,6
26,0
27,0
28,6
29,6
30,0
31,2
32,0
33,2
34,2
35,4
36,7
37,4
38,2
39,6
40,0
41,0
42,4
43,0
44,3
45,2
46,2
47,4
48,2
49,5
50,2
51,2
52,0
53,0
54,1
55,5
56,5
57,3
58,2
59,5
60,5
61,3
62,2
63,5
64,4
65,2
66,0
67,2
68,4
69,2
70,5
71,7
72,2
73,3
75,3
76,4
77,0
78,2
79,3
80,0
81,1
82,4
83,5
84,3
85,4
86,6
87,0
88,2
89,3
90,4
91,0
92,0
93,1
94,3
95,1
96,3
97,4
98,3
99,0
100,3
101,0
102,4
103,3
104,1
105,0
106,4
107,1
108,2
109,4
110,3
111,4
112,1
113,6
114,3
115,0
116,3
118,2
119,4
120,3
121,3
122,2
123,2
124,4
125,2
126,3
127,3
128,3
129,3
130,5
131,2
132,3
133,2
134,2
135,2
136,2
139,7
140,0
141,2
142,4
143,3
144,2
145,2
146,3
147,0
148,3
149,4
150,2
151,2
152,3
153,0
154,5
155,0
156,4
157,4
158,3
159,3
160,7
161,3
162,3
163,7
164,7
165,3
166,3
167,2
168,0
169,2
170,7
171,0
172,4
173,7
174,4
175,4
176,1
177,1
178,1
179,4
180,4
181,4
182,0
183,5
184,0
185,3
186,5
187,4
188,3
189,3
190,7
191,3
192,3
193,4
194,5
195,3
196,4
197,3
199,0
200,3
201,2
202,4
203,2
204,3
205,0
206,4
207,2
208,0
209,4
210,0
211,4
212,1
213,0
214,1
215,6
216,4
217,7
218,5
219,4
220,2
221,2
222,2
223,3
224,3
225,2
226,2
227,4
228,5
229,5
230,5
231,5
232,2
233,4
234,6
235,4
236,6
237,1
238,0
239,4
240,2
241,2
242,4
243,4
244,7
245,2
246,4
247,1
248,6
249,2
250,4
251,4
252,3
253,1
254,4
255,4
256,4
257,4
258,7
259,0
260,7
261,7
262,2
263,6
264,4
265,4
266,1
267,0
268,5
269,5
270,0
271,3
272,0
273,4
274,4
275,0
276,0
277,0
278,5
279,4
280,7
281,7
282,4
283,4
284,7
285,2
286,7
287,6
288,3
289,2
290,2
291,1
292,1
293,5
294,4
295,1
296,0
297,5
298,5
299,4
300,1
301,1
302,2
303,0
304,0
305,4
306,4
307,2
308,5
309,0
310,1
311,4
312,0
313,4
314,4
315,0
316,5
317,5
318,7
319,2
320,5
321,2
322,7
323,5
324,0
325,0
326,5
327,2
329,2
330,0
331,7
332,2
333,6
334,5
335,5
336,5
337,7
338,7
339,2
340,2
341,4
342,4
343,0
344,5
345,0
346,6
347,1
348,4
349,5
350,7
351,2
352,7
353,2
354,4
355,0
356,4
357,2
358,0
359,1
360,5
361,5
362,2
363,3
364,2
366,2
367,7
368,2
369,0
370,5
371,4
372,2
373,2
374,7
375,2
376,7
377,2
378,4
379,7
380,4
381,2
382,2
383,0
384,3
385,1
386,2
387,7
388,7
389,2
390,4
391,4
392,4
393,4
394,2
395,2
396,2
397,2
398,3
399,0
400,0
401,2
402,2
403,2
404,2
405,4
406,2
407,3
408,2
409,2
410,2
411,2
412,2
413,2
414,1
416,2
417,2
418,4
419,2
420,0
421,2
422,7
423,2
424,6
425,2
426,6
427,5
428,7
429,2
430,4
431,4
432,4
433,5
434,5
435,5
436,2
437,0
438,0
439,2
440,2
441,0
442,5
443,4
444,5
445,4
446,4
447,7
448,2
449,2
450,4
451,0
452,0
453,2
454,2
455,4
456,4
457,5
458,7
459,2
460,6
461,6
462,0
463,0
464,0
465,4
466,3
467,7
468,7
469,2
470,7
471,7
472,2
473,2
474,2
475,3
476,0
477,5
478,5
479,1
480,2
481,2
482,2
483,4
484,2
485,3
486,2
487,4
488,7
489,0
490,7
491,7
492,7
493,7
494,3
495,0
496,7
497,7
498,4
499,4
500,2
501,1
502,4
503,2
504,1
505,2
506,2
507,6
508,0
509,4
511,0
512,5
513,2
514,0
515,2
516,2
517,4
518,4
519,0
520,2
521,0
522,7
523,7
524,2
525,2
526,0
527,0
528,2
529,5
531,2
532,2
533,0
534,7
535,4
536,2
537,3
538,7
539,5
540,6
541,6
542,4
543,7
544,4
545,4
546,0
547,2
548,4
549,0
550,3
551,5
552,5
553,5
554,3
555,4
556,2
557,4
558,0
559,5
560,3
561,5
562,3
563,3
564,7
565,7
566,4
567,5
568,3
569,2
570,2
571,7
572,2
573,4
574,0
575,7
576,3
577,6
578,0
579,5
580,4
581,3
582,2
583,2
584,2
585,3
586,5
587,5
588,5
589,5
590,4
592,5
593,3
594,4
595,6
596,4
597,0
598,3
599,7
600,3
601,3
602,6
603,0
604,4
605,6
606,7
608,3
609,3
610,1
611,1
612,7
613,7
614,0
615,0
616,7
617,2
618,4
619,0
620,7
621,2
622,7
623,7
624,2
625,4
626,2
627,2
629,4
630,3
631,4
632,2
633,3
634,5
635,2
636,7
637,3
638,2
639,6
640,2
641,3
644,2
645,4
647,7
648,0
649,2
650,6
651,7
652,2
653,4
654,2
655,2
656,7
657,2
658,3
659,2
660,4
661,3
662,5
663,2
664,2
665,7
666,2
667,4
668,4
669,4
670,4
671,1
672,1
673,2
674,3
675,2
676,4
677,3
678,7
679,7
680,6
681,4
683,2
684,7
686,2
687,4
688,2
689,3
690,5
691,2
692,0
693,4
695,4
696,2
697,7
698,2
699,2
700,2
701,4
702,2
703,2
704,7
705,1
706,5
707,3
708,2
709,6
710,4
711,3
712,7
713,1
714,1
715,7
716,2
717,6
718,2
719,7
721,3
722,7
723,7
724,2
725,5
726,3
727,4
729,7
730,3
731,7
732,2
733,4
734,4
735,7
736,0
737,3
738,1
739,3
740,7
741,2
742,4
743,2
744,5
745,7
746,5
747,7
748,5
749,1
750,7
751,0
752,2
753,3
754,5
755,7
756,7
760,6
761,2
762,0
763,1
764,3
765,4
766,7
767,4
768,2
770,1
771,6
772,7
773,5
774,5
775,4
776,7
777,0
778,7
779,2
780,6
781,2
782,2
783,6
784,4
785,6
786,6
787,4
788,2
789,1
790,3
791,2
792,6
793,3
794,1
795,0
796,7
797,4
798,4
799,4
